date,inventory_turnover,days_of_inventory_onhand,receivables_turnover,days_of_sales_outstanding,payables_turnover,number_of_days_of_payables,working_capital_turnover,fixed_asset_turnover,total_asset_turnover,cash_conversion_cycle,current_ratio,quick_ratio,cash_ratio,defensive_internal_ratio,debt_to_capital_ratio,debt_to_equity_ratio,financial_leverage_ratio,debt_to_ebitda_ratio,gross_profit_margin,operating_profit_margin,net_profit_margin,operating_return_on_assets,return_on_assets,return_on_equity,deferred_revenue,net_interest_income
2009-09-30,,,,,,,,,,,1.8160356037689926,1.5755710858454157,1.2770070581690485,424.2197125256674,0.12701237078461278,0.14549160438707173,,1.100385391815012,0.780030959752322,0.34690402476780186,0.27662538699690403,,,,,-38000000.0
2009-12-31,4.172512938470385,21.569735391400222,1.9230652580498409,46.800283881821045,1.1235676680086715,80.10198456449834,0.757215079017555,-34.30477908025248,0.2323893762064163,-11.731965291277078,2.041104413766284,1.8391989111413571,1.4038110052498542,330.34163701067615,0.119237042046223,0.13537926518076915,1.914825428387625,0.6286703020134228,0.8092734728209442,0.4475344338134791,0.3502260540426874,0.10400224790480612,0.08138881423021477,0.15584537107433183,,-38000000.0
2010-03-31,5.055045871559633,17.80399274047187,1.4265479761963311,63.089360821898914,0.8542635658914729,105.35390199637023,0.5286698501804397,-16.213527110117383,0.17368238266888614,-24.46054843399945,2.0632001211020286,1.8469194671510747,1.501135331516803,413.3788791106994,0.11594623343970603,0.13115292058630496,1.8557665596213038,0.9871562654371809,0.8100393022133352,0.3566848238295525,0.27621871336964765,0.06194987006454858,0.04797432427577452,0.08902914671141089,,-38000000.0
2010-06-30,5.1087832393231265,17.616719242902207,1.4481513249966143,62.14820125943014,0.8680175246440307,103.68454258675078,0.5566874338371831,-15.88019801980198,0.18756541517807546,-23.919622084418435,2.1293456228247982,1.9046926989712012,1.4069682946418327,352.5630923224364,0.11329812770043207,0.1277747698971305,1.8612722424770094,0.7648431423386052,0.8023567554086913,0.36972379824178564,0.28168838456262857,0.06934739771843554,0.052834998801330815,0.0983403167002231,14830000000.0,-37000000.0
2010-09-30,3.167507568113017,28.413507486460656,1.4293909973521624,62.96387774004322,0.8175543690584711,110.08442179037911,0.5120705737277284,-14.926267281105991,0.1823217170551581,-18.707036563875235,2.304250299725413,2.081409289554086,1.7083575047375952,443.9497487437186,0.18562853474896776,0.22794086319287632,1.9078471170677749,1.4461413704554669,0.8061747452917567,0.43939487496140783,0.3340537202840383,0.08011122806820037,0.060905247870849354,0.11619790156469817,13919000000.0,-45000000.0
2010-12-31,4.596291012838802,19.581005586592177,1.77202486678508,50.7893549842129,1.2858853265930557,69.9906890130354,0.5775442862104897,-15.053187476423991,0.21706210632812245,0.379671557769683,2.4549193813754524,2.226307996051333,1.6967752550180981,318.35705710855774,0.16672109451539163,0.20007838122150945,1.9266424237343198,1.1155836687751581,0.7577807848443843,0.4092116473713226,0.33248133112815115,0.08882434211242017,0.07216909804945444,0.13904404598472067,13417000000.0,-72000000.0
2011-03-31,4.065727699530516,22.136258660508084,1.4343213864757498,62.74744338933528,1.0132605304212168,88.82217090069285,0.4234402587862307,-10.684878048780488,0.17109559294496257,-3.938468850849489,2.7561350969137344,2.5032443224357372,2.0859329506696613,427.536231884058,0.18209083119108826,0.22262964903090623,1.8839139434726733,1.8976239834157231,0.7627830533235939,0.3475164353542732,0.31848064280496713,0.059458530565059134,0.05449063442220868,0.10265566597667095,13019000000.0,-84000000.0
2011-06-30,3.054365733113674,29.466019417475728,1.3882494004796162,64.82984971497669,0.9239970097184151,97.40291262135922,0.3930741809539976,-10.648068669527897,0.16664507678800178,-3.107043488906797,2.603669979842914,2.35486897893932,1.8340168207409466,429.00189684761995,0.17250626966064103,0.2084683706182226,1.8856561270185914,1.8201284796573876,0.7864916220418035,0.35532907237864914,0.33822767317325964,0.059213840551549435,0.056363976567785024,0.10628307775817614,17120000000.0,-94000000.0
2011-09-30,2.074135090609555,43.39158061953932,1.3820206841686555,65.12203545935989,0.9542698332491157,94.31294678316124,0.3623998664886515,-9.040853499869893,0.16076328319120484,14.200669295737981,2.946834749246369,2.644795051481815,2.247308460243511,513.5457256461233,0.16692149079126398,0.20036705898200063,1.8555128183113827,1.5847649487281927,0.7825811650932535,0.4146327423440018,0.33030163481464425,0.06665772097779464,0.05310037525622458,0.09852842694506929,15658000000.0,-94000000.0
2011-12-31,3.1140568903617787,28.901206101454417,1.7553370314338543,51.27220493176922,1.4830987767986321,60.68375310393757,0.4312053516125036,-8.864601018675721,0.19015924755756677,19.48965792928606,2.8578804240728335,2.5767154061403854,2.039017853623931,365.5967336683417,0.15653569408452928,0.18558662528656758,1.778434484098711,1.401814112380728,0.7300454871917644,0.38276274838400764,0.31716542973425904,0.07278587622576915,0.060311939469539014,0.1072608329555023,15334000000.0,-95000000.0
