company,sector,headline,snippet,pub_date,url,quarter
Ford Motor Company,Automotive,Ford Doubles Profits for the Best Quarter in Its History,"Low gasoline prices are helping automakers sell more large, higher-profit vehicles, and Ford’s redesigned F-150 is a big hit.",2016-04-29T00:55:16+0000,https://www.nytimes.com/2016/04/29/business/ford-doubles-profits-for-the-best-quarter-in-its-history.html,2016-04-01 to 2016-06-30
Ford Motor Company,Automotive,Ford and Google Team Up to Support Driverless Cars,"The automaker and the tech giant formed the Self-Driving Coalition for Safer Streets, a group aimed at urging federal approval of autonomous vehicles.",2016-04-27T23:07:06+0000,https://www.nytimes.com/2016/04/28/business/ford-and-google-team-up-tosupport-driverless-cars.html,2016-04-01 to 2016-06-30
Ford Motor Company,Automotive,Ford’s Planned New Headquarters Borrow Some Silicon Valley Sheen,"Ford Motor tries to shed Rust Belt image as it makes over its headquarter buildings in Dearborn, Mich., into a high-tech campus.",2016-04-13T00:11:35+0000,https://www.nytimes.com/2016/04/13/business/fords-planned-new-headquarters-borrow-some-silicon-valley-sheen.html,2016-04-01 to 2016-06-30
Ford Motor Company,Automotive,When Ford Conquered Ferrari at Le Mans,"The American car manufacturer swept the top three places in the 1966 race, stunning its Italian rival, which had won the five previous editions of the endurance race.",2016-06-16T13:54:33+0000,https://www.nytimes.com/2016/06/17/sports/autoracing/when-ford-conquered-ferrari-at-le-mans.html,2016-04-01 to 2016-06-30
Ford Motor Company,Automotive,"Ford, Building a Plant in Mexico, Draws Fire From Trump","Ford’s plans for the plant were not contested by the U.A.W. in contract talks, but Donald Trump calls the expansion “an absolute disgrace.”",2016-04-05T21:54:14+0000,https://www.nytimes.com/2016/04/06/business/ford-building-a-plant-in-mexico-draws-fire-from-trump.html,2016-04-01 to 2016-06-30
Ford Motor Company,Automotive,Ford Recalls Some F-150 Pickups for Potential Brake Problem,"The recall affects 271,000 pickups in model years 2013-14 equipped with 3.5-liter V-6 engines.",2016-05-25T19:05:32+0000,https://www.nytimes.com/2016/05/26/business/ford-recalls-some-f-150-pickups-for-potential-brake-problem.html,2016-04-01 to 2016-06-30
Ford Motor Company,Automotive,Return To Le Mans,"50 years later, the new Ford GT is set on racing’s top honor.",2016-06-14T23:00:02+0000,https://www.nytimes.com/paidpost/ford-gt/return-to-le-mans.html,2016-04-01 to 2016-06-30
Ford Motor Company,Automotive,A Dance Between Dealer and Carmaker on Lifting Sales,"Kia, BMW and Nissan have encouraged dealers to buy cars, raising sales, then offer the virtually new vehicles as used models, company memos show.",2016-04-01T00:59:38+0000,https://www.nytimes.com/2016/04/01/automobiles/wheels/a-dance-between-dealer-and-carmaker-on-sales.html,2016-04-01 to 2016-06-30
Ford Motor Company,Automotive,"Marissa Evans and Benjamin Alden: A Fashion Mismatch, but Love Nevertheless","They met at a wedding, but it was his fashion photo-sharing efforts that eventually brought the couple in sync.",2016-05-15T04:18:04+0000,https://www.nytimes.com/2016/05/15/fashion/weddings/marissa-evans-and-benjamin-alden-married.html,2016-04-01 to 2016-06-30
Ford Motor Company,Automotive,"For Driverless Cars, Citylike Test Sites Offer the Unpredictable","Testing is being conducted at controlled, secretive locations like Mcity in Michigan because the number of unforeseen challenges on the road is almost limitless.",2016-06-04T09:00:42+0000,https://www.nytimes.com/2016/06/06/business/for-driverless-cars-citylike-test-sites-offer-the-unpredictable.html,2016-04-01 to 2016-06-30
Ford Motor Company,Automotive,Start-Stop Technology Is Spreading (Like It or Not),"The system saves fuel by cutting the engine when the car comes to a stop, but many drivers find it disruptive and disable it.",2016-04-07T21:48:10+0000,https://www.nytimes.com/2016/04/08/automobiles/wheels/start-stop-technology-is-coming-to-cars-like-it-or-not.html,2016-04-01 to 2016-06-30
Ford Motor Company,Automotive,Why Are Cars With Killer Airbags Still Being Sold?,"Faulty devices are being knowingly sold in new cars, often without the buyers’ awareness of that fact.",2016-06-03T07:21:03+0000,https://www.nytimes.com/2016/06/03/opinion/why-are-they-still-selling-cars-with-killer-airbags.html,2016-04-01 to 2016-06-30
Ford Motor Company,Automotive,"Despite Strong Earnings, G.M. Has Much to Prove to Investors","Much of the credit for G.M.’s earnings has gone to a strong car market in the United States, not the company’s improving balance sheet and new models.",2016-04-22T01:08:31+0000,https://www.nytimes.com/2016/04/22/business/despite-strong-earnings-gm-has-much-to-prove-to-investors.html,2016-04-01 to 2016-06-30
Ford Motor Company,Automotive,Google to Get Fiat Chrysler Minivans for Self-Driving Tests,The partnership will equip 100 vehicles with technology to advance and expand Google’s development effort.,2016-05-03T21:48:31+0000,https://www.nytimes.com/2016/05/04/technology/google-fiat-chrysler-minivans-self-driving.html,2016-04-01 to 2016-06-30
Ford Motor Company,Automotive,Mitsubishi Admits Cheating on Fuel-Economy Tests,"The manipulation of testing procedures by the automaker’s engineers affected about 620,000 vehicles sold in Japan, the company’s president said.",2016-04-20T11:23:14+0000,https://www.nytimes.com/2016/04/21/business/mitsubishi-fuel-economy-tests.html,2016-04-01 to 2016-06-30
Ford Motor Company,Automotive,"Head of Fiat Chrysler Sees Self-Driving Cars in Five Years, Not 20","Under a partnership unveiled this week, Fiat Chrysler will make about 100 modified Pacificas that Google will outfit with sensors and computers it has developed.",2016-05-06T23:34:36+0000,https://www.nytimes.com/2016/05/07/business/fiat-chrysler-chief-sees-self-driving-technology-in-five-years.html,2016-04-01 to 2016-06-30
Ford Motor Company,Automotive,Chrysler Hopes New Pacifica Can Make Minivan Cool,"A reinvented model uses improved fold-flat back seats, high-definition video screens and a sculptured design to overcome a stodgy image.",2016-06-02T21:35:08+0000,https://www.nytimes.com/2016/06/03/automobiles/wheels/chrysler-pacifica-minivan.html,2016-04-01 to 2016-06-30
Ford Motor Company,Automotive,"Automakers Befriend Start-Ups Like Uber, Girding Against a Changing Car Culture",Companies like Toyota and Volkswagen are supporting the tech companies working to change the way people travel by car.,2016-05-24T20:14:36+0000,https://www.nytimes.com/2016/05/25/technology/uber-gett-ridesharing-toyota-vw.html,2016-04-01 to 2016-06-30
Ford Motor Company,Automotive,What Saudi Arabia’s $3.5 Billion in Uber Buys,"Uber is now worth four United Airlines, 2 billion rides across Midtown Manhattan and a good day at Google.",2016-06-02T13:36:22+0000,https://www.nytimes.com/2016/06/03/technology/what-saudi-arabias-3-5-billion-in-uber-buys.html,2016-04-01 to 2016-06-30
Ford Motor Company,Automotive,Mitsubishi Grabs a Shiny Sliver of the American Market,"Mitsubishi remained in America after the earthquakes and tsunami of 2011 in Japan, and now its new-car sales are growing, helped by affordable models.",2016-05-05T22:18:58+0000,https://www.nytimes.com/2016/05/06/automobiles/mitsubishi-grabs-a-shiny-sliver-of-the-american-market.html,2016-04-01 to 2016-06-30
Ford Motor Company,Automotive,Why Startup Mattresses Cost Less,"The mattress industry is dominated by four brands that control 77 percent of what’s sold. Here’s how Big Mattress tries to confuse buyers, and how companies such as Casper, Leesa, and Tuft &amp; Needle may be changing the game.",2016-05-04T00:00:00+0000,https://www.nytimes.com/wirecutter/blog/why-startup-mattresses-cost-less/,2016-04-01 to 2016-06-30
Ford Motor Company,Automotive,"For Tesla Owner, Losing a Wheel Was Just the First Surprise","As the automaker defended the safety of its Model S, its request for confidentiality in exchange for repairs raised questions among legal experts.",2016-06-10T14:22:41+0000,https://www.nytimes.com/2016/06/11/business/tesla-motors-model-s-suspension.html,2016-04-01 to 2016-06-30
