company,sector,headline,snippet,pub_date,url,quarter
Ford Motor Company,Automotive,Ford Moves to Trim Its Ranks as Its Chief Faces a Test,"With Mark Fields under investor pressure, the automaker is shedding 1,400 salaried jobs in a step to balance cutbacks with technology investments.",2017-05-17T12:24:46+0000,https://www.nytimes.com/2017/05/17/business/ford-motor-mark-fields.html,2017-04-01 to 2017-06-30
Ford Motor Company,Automotive,"Donald Trump, Ford Motor, ‘Twin Peaks’: Your Monday Briefing",Here’s what you need to know to start your day.,2017-05-22T09:34:17+0000,https://www.nytimes.com/2017/05/22/briefing/donald-trump-ford-motor-twin-peaks.html,2017-04-01 to 2017-06-30
Ford Motor Company,Automotive,Ford Was Unprepared for Investor Revolt and C.E.O. Change,"The Ford family, which controls two-fifths of Ford Motor’s voting stock with less than 2 percent of the shares, was caught off guard. It shouldn’t have been.",2017-05-22T17:55:27+0000,https://www.nytimes.com/2017/05/22/business/dealbook/ford-was-unprepared-for-investor-revolt-and-ceo-change.html,2017-04-01 to 2017-06-30
Ford Motor Company,Automotive,"As Ford Takes Investor Meeting Online, Brickbats Still Sting","The automaker came under fire from shareholders over its stock price, its leadership and even the format of the event itself.",2017-05-11T23:06:14+0000,https://www.nytimes.com/2017/05/11/business/ford-motor-shareholder-meeting.html,2017-04-01 to 2017-06-30
Ford Motor Company,Automotive,"As Profit Dwindles, Ford Is Said to Replace Its C.E.O.","Jim Hackett, who oversees the unit working on autonomous vehicles, will take over an automaker under fire over its stock price and stagnant sales.",2017-05-22T03:57:34+0000,https://www.nytimes.com/2017/05/21/business/ford-motor-chief-executive.html,2017-04-01 to 2017-06-30
Ford Motor Company,Automotive,Tesla Passes Ford in Market Value as Investors Bet on the Future,"With signs that the long boom in American auto sales is tapering off, the Detroit giants are eclipsed on Wall Street by the electric-vehicle upstart.",2017-04-04T00:43:34+0000,https://www.nytimes.com/2017/04/03/business/tesla-ford-general-motors-stock-market.html,2017-04-01 to 2017-06-30
Ford Motor Company,Automotive,"Ford, Trudging Into the Future, Ousts Mark Fields as C.E.O.",The automaker promoted Jim Hackett and vowed to catch up in the race to build self-driving cars and to bolster its conventional product line.,2017-05-22T12:30:20+0000,https://www.nytimes.com/2017/05/22/business/ford-ceo-mark-fields-jim-hackett.html,2017-04-01 to 2017-06-30
Ford Motor Company,Automotive,"Jim Hackett, Ford’s New C.E.O., Has a History of Turnaround Stories","Before Ford, Mr. Hackett was an executive at a furniture company, and he spent a year overhauling the University of Michigan’s athletic department.",2017-05-22T17:11:09+0000,https://www.nytimes.com/2017/05/22/business/jim-hackett-ford.html,2017-04-01 to 2017-06-30
Ford Motor Company,Automotive,"Ford Chooses China, Not Mexico, to Build Its New Focus","The company, which canceled plans to build in Mexico under pressure from President Trump, will also invest in a Kentucky plant for S.U.V.s.",2017-06-20T13:56:44+0000,https://www.nytimes.com/2017/06/20/business/ford-focus-china-production.html,2017-04-01 to 2017-06-30
Ford Motor Company,Automotive,Ford’s Signal to the Auto World: Here Comes China,"Making the Focus in a Chinese factory demonstrates their reliable quality and competitive costs, but the move could spark trade tensions with the United States.",2017-06-21T14:26:45+0000,https://www.nytimes.com/2017/06/21/business/ford-china-export-focus-mexico.html,2017-04-01 to 2017-06-30
Ford Motor Company,Automotive,"Even Amid Trade Tensions, Ford Pushes Pickup Trucks in China","As cars remain a point of conflict, Detroit pushes to sell pickups in a market long skeptical of them, in an effort to tap a Chinese taste for American brands.",2017-04-07T07:48:07+0000,https://www.nytimes.com/2017/04/07/business/ford-china-pickup-trucks.html,2017-04-01 to 2017-06-30
Ford Motor Company,Automotive,Victory Over Einhorn Provides Little Solace to General Motors,"A distraction is removed, but car sales are sluggish in the United States and the competition for connected and self-driving cars is growing.",2017-06-06T19:39:12+0000,https://www.nytimes.com/2017/06/06/business/dealbook/victory-over-einhorn-provides-little-solace-to-general-motors.html,2017-04-01 to 2017-06-30
Ford Motor Company,Automotive,"Brandi Shipp, Paul Joseph",The couple met through mutual friends in 2012; they were married in Brooklyn.,2017-06-04T04:00:05+0000,https://www.nytimes.com/2017/06/04/fashion/weddings/brandi-shipp-paul-joseph.html,2017-04-01 to 2017-06-30
