company,sector,headline,snippet,pub_date,url,quarter
Ford Motor Company,Automotive,Ford and U.A.W. in Tentative Contract Deal,"‘It appears both parties took a sane approach and avoided a painful strike that would have benefited neither of them,’ an economist said.",2019-10-31T01:32:46+0000,https://www.nytimes.com/2019/10/30/business/ford-uaw-union-deal.html,2019-10-01 to 2019-12-31
Ford Motor Company,Automotive,Watch Christian Bale Burn Rubber in ‘Ford v Ferrari’,The director James Mangold narrates a Le Mans racing scene featuring Bale and Matt Damon.,2019-11-15T16:14:28+0000,https://www.nytimes.com/2019/11/15/movies/ford-v-ferrari-clip.html,2019-10-01 to 2019-12-31
Ford Motor Company,Automotive,Ford Will Put Most of India Operations Into Mahindra Venture,"The move is the latest streamlining effort by the Detroit automaker, which has closed plants in Europe and is cutting its salaried ranks worldwide.",2019-10-01T11:12:06+0000,https://www.nytimes.com/2019/10/01/business/ford-india.html,2019-10-01 to 2019-12-31
Ford Motor Company,Automotive,Ford Contract Ratified by U.A.W. Members,"The terms of the four-year agreement are comparable to those the union reached with General Motors, but without a strike.",2019-11-16T01:27:53+0000,https://www.nytimes.com/2019/11/15/business/ford-uaw-contract.html,2019-10-01 to 2019-12-31
Ford Motor Company,Automotive,‘Ford v Ferrari’ Review: It’s a Gas,Matt Damon and Christian Bale star in James Mangold’s look back at the golden age of auto racing.,2019-11-14T15:48:36+0000,https://www.nytimes.com/2019/11/14/movies/ford-v-ferrari-review.html,2019-10-01 to 2019-12-31
Ford Motor Company,Automotive,U.A.W. and Fiat Chrysler Reach Tentative Labor Deal,Fiat was the last of the three Detroit automakers at the bargaining table.,2019-11-30T16:54:06+0000,https://www.nytimes.com/2019/11/30/business/uaw-and-fiat-chrysler.html,2019-10-01 to 2019-12-31
Ford Motor Company,Automotive,Ford Wants to Sell You an Electric S.U.V. It’s Called a Mustang.,Automakers have made battery-powered cars largely to meet environmental rules. Now they’re putting more skin in the game.,2019-11-18T02:30:20+0000,https://www.nytimes.com/2019/11/17/business/ford-mustang-electric-suv.html,2019-10-01 to 2019-12-31
Ford Motor Company,Automotive,"General Motors Sides With Trump in Emissions Fight, Splitting the Industry","Along with Toyota and Fiat Chrysler, the auto giant backed the administration in its clash with California over pollution standards.",2019-10-28T22:22:26+0000,https://www.nytimes.com/2019/10/28/climate/general-motors-california-emissions-trump.html,2019-10-01 to 2019-12-31
Ford Motor Company,Automotive,"Strike Will Cost G.M. Nearly $3 Billion in 2019 Earnings, Company Says","The bigger financial effect is expected to be reflected in the current quarter, as the walkout halted North American production for most of October.",2019-10-29T12:02:53+0000,https://www.nytimes.com/2019/10/29/business/gm-earnings.html,2019-10-01 to 2019-12-31
Ford Motor Company,Automotive,Senate Confirms Dan Brouillette to Lead Energy Department,"The former lobbyist becomes President Trump’s second energy secretary, succeeding Rick Perry.",2019-12-02T23:15:37+0000,https://www.nytimes.com/2019/12/02/climate/dan-brouillette-energy-secretary.html,2019-10-01 to 2019-12-31
