company,sector,headline,snippet,pub_date,url,quarter
Ford Motor Company,Automotive,Ford Promises Fleets of Driverless Cars Within Five Years,The carmaker said it aimed to have self-driving cars available for ride-hailing services by 2021.,2016-08-16T23:45:43+0000,https://www.nytimes.com/2016/08/17/business/ford-promises-fleets-of-driverless-cars-within-five-years.html,2016-07-01 to 2016-09-30
Ford Motor Company,Automotive,Ralph Lauren’s Turnaround Plan Has Parallels of Ford Motor’s Road Map,"The fashion company, under a new chief, is starting from a stronger position than Ford had in 2006, when it started its renaissance.",2016-07-07T11:57:41+0000,https://www.nytimes.com/2016/07/08/business/ralph-lauren-looks-at-ford-turnaround-for-a-road-map.html,2016-07-01 to 2016-09-30
Ford Motor Company,Automotive,Ford Explorers Under Scrutiny for Exhaust Fumes Inside Vehicle,"The company and its dealers have tried to solve the problem in the past, but only if owners complained.",2016-07-07T14:47:09+0000,https://www.nytimes.com/2016/07/08/business/ford-explorers-under-scrutiny-for-exhaust-fumes-inside-vehicle.html,2016-07-01 to 2016-09-30
Ford Motor Company,Automotive,Ford’s Driverless Car Plan: Embrace Tech and Go Slow,"The automaker detailed its use of laser-based technology and distanced itself from companies like Tesla, which has taken a different approach to driverless cars.",2016-09-13T00:23:47+0000,https://www.nytimes.com/2016/09/13/business/ford-driverless-car.html,2016-07-01 to 2016-09-30
Ford Motor Company,Automotive,"Ronald DeLuca, Ad Man Who Helped Revive Iacocca’s Chrysler, Dies at 91",Mr. DeLuca was an ad man who had a crucial part in persuading Congress to approve a $1.5 billion federal loan guarantee package for the automaker in 1980.,2016-08-20T00:39:58+0000,https://www.nytimes.com/2016/08/20/business/media/ronald-deluca-ad-man-who-helped-revive-iacoccas-chrysler-dies-at-91.html,2016-07-01 to 2016-09-30
Ford Motor Company,Automotive,Why Monthly Auto Sales Numbers May Not Be What They Seem,"Consumer demand is leveling off after six straight years of rising sales, and car companies are under increasing pressure to show strong results, however they can.",2016-08-01T00:39:23+0000,https://www.nytimes.com/2016/08/01/business/why-monthly-auto-sales-numbers-may-not-be-what-they-seem.html,2016-07-01 to 2016-09-30
Ford Motor Company,Automotive,Big Decline in U.S. Auto Sales May Signal End of Six-Year Boom,"Pent-up demand from the recession may have finally run its course, as August sales fell by 4 percent from a year earlier.",2016-09-01T23:16:48+0000,https://www.nytimes.com/2016/09/02/business/big-decline-in-us-auto-sales-may-signal-end-of-six-year-boom.html,2016-07-01 to 2016-09-30
Ford Motor Company,Automotive,Delphi and Mobileye to Produce System for Self-Driving Cars,The companies said they expected to demonstrate their system in January at International CES and to begin production within two years.,2016-08-23T20:04:49+0000,https://www.nytimes.com/2016/08/24/business/delphi-and-mobileye-to-produce-system-for-self-driving-cars.html,2016-07-01 to 2016-09-30
Ford Motor Company,Automotive,Your Car’s New Software Is Ready. Update Now?,Automakers are taking advantage of connected cars by beaming improved features right into their vehicles via software upgrades.,2016-09-08T20:16:46+0000,https://www.nytimes.com/2016/09/09/automobiles/your-cars-new-software-is-ready-update-now.html,2016-07-01 to 2016-09-30
Ford Motor Company,Automotive,Uber Aims for an Edge in the Race for a Self-Driving Future,"The company said it had acquired a start-up comprising former Google and Carnegie Mellon engineers, as well as announced a partnership with Volvo to test self-driving cars on Pittsburgh streets in a matter of weeks.",2016-08-18T16:40:46+0000,https://www.nytimes.com/2016/08/19/technology/uber-self-driving-cars-otto-trucks.html,2016-07-01 to 2016-09-30
Ford Motor Company,Automotive,Don’t Waste Money on Premium Gas if Your Car Is Made for Regular,"A new AAA report states that except in certain cases, premium offers no benefit and is a waste of money. However, brand-name fuels can still help.",2016-09-22T19:28:53+0000,https://www.nytimes.com/2016/09/23/automobiles/dont-waste-money-on-premium-gas-if-your-car-is-made-for-regular.html,2016-07-01 to 2016-09-30
Ford Motor Company,Automotive,Testing Sites for Self-Driving Cars Become a Priority,"After a fatal crash involving a Tesla Model S, the idea of establishing a federally supervised site to ensure safety is catching on.",2016-07-22T23:23:27+0000,https://www.nytimes.com/2016/07/23/business/testing-sites-for-self-driving-cars-become-a-priority.html,2016-07-01 to 2016-09-30
Ford Motor Company,Automotive,"Big Carmakers Merge, Cautiously, Into the Self-Driving Lane","As G.M., Audi and Mercedes match the capabilities of Tesla’s Autopilot, they are taking steps to make sure drivers use it responsibly.",2016-09-01T21:12:02+0000,https://www.nytimes.com/2016/09/02/automobiles/big-carmakers-merge-cautiously-into-the-self-driving-lane.html,2016-07-01 to 2016-09-30
Ford Motor Company,Automotive,G.M. and Union Avoid Strike by Canadian Workers,"The action focused on two car production lines in Ontario, but it was a battleground for an entire country struggling to revive its manufacturing base.",2016-09-20T05:47:33+0000,https://www.nytimes.com/2016/09/21/business/gm-unifor-canada-oshawa-strike.html,2016-07-01 to 2016-09-30
Ford Motor Company,Automotive,"Robert Rosencrans, Who Helped Propel C-Span, Dies at 89",Mr. Rosencrans saw the broad potential of cable television when fewer than one in five homes was wired for it.,2016-08-04T22:50:25+0000,https://www.nytimes.com/2016/08/05/business/media/robert-rosencrans-dead.html,2016-07-01 to 2016-09-30
Ford Motor Company,Automotive,"Corrections: July 29, 2016","Corrections appearing in print on Friday, July 29, 2016.",2016-07-29T05:32:26+0000,https://www.nytimes.com/2016/07/29/pageoneplus/corrections-july-29-2016.html,2016-07-01 to 2016-09-30
Ford Motor Company,Automotive,"At Pebble Beach, Where Rare Is Common, a Shelby Cobra Stands Out","Except for long-ago viewings, the 427 model has remained mostly unseen for five decades. It now joins the field at the concours in Carmel, Calif.",2016-07-28T18:43:07+0000,https://www.nytimes.com/2016/07/29/automobiles/collectibles/at-pebble-beach-where-rare-is-common-a-shelby-cobra-stands-out.html,2016-07-01 to 2016-09-30
Ford Motor Company,Automotive,Fiat Chrysler Revises Sales Data Lower After Doubts Raised,"The carmaker, suspected of inflating reports, said its 75 consecutive months of sales growth actually ended three years ago.",2016-07-27T00:03:46+0000,https://www.nytimes.com/2016/07/27/business/fiat-chrysler-revises-5-years-of-sales-data-recanting-vaunted-winning-streak.html,2016-07-01 to 2016-09-30
Ford Motor Company,Automotive,What Trump Doesn’t Know About Detroit,"Both Mr. Trump and Mr. Pence opposed the bailout that helped save the auto industry. Our columnist disagrees, and he was there.",2016-08-18T07:21:25+0000,https://www.nytimes.com/2016/08/18/opinion/what-trump-doesnt-know-about-detroit.html,2016-07-01 to 2016-09-30
