company,sector,headline,snippet,pub_date,url,quarter
Ford Motor Company,Automotive,Ford to Invest $1 Billion in Artificial Intelligence Start-Up,"The automaker will be the majority shareholder Argo AI, which will focus on developing self-driving vehicle technology.",2017-02-10T22:55:14+0000,https://www.nytimes.com/2017/02/10/technology/ford-invests-billion-artificial-intelligence.html,2017-01-01 to 2017-03-31
Ford Motor Company,Automotive,Ford to Expand U.S. Production of Trucks and S.U.V.s,"An investment of $1.2 billion in three Michigan facilities, praised by President Trump, will add or preserve 130 jobs at an engine factory.",2017-03-28T14:00:37+0000,https://www.nytimes.com/2017/03/28/business/ford-trump-jobs.html,2017-01-01 to 2017-03-31
Ford Motor Company,Automotive,"Even Before He Takes Office, Trump Knocks Automakers on Their Heels","In a stunning reversal, Ford said it would scrap plans to build a plant in Mexico, while General Motors defended making a “small number” of Chevys there.",2017-01-03T17:46:27+0000,https://www.nytimes.com/2017/01/03/business/ford-general-motors-trump.html,2017-01-01 to 2017-03-31
Ford Motor Company,Automotive,Daily Report: The Next Voice You Hear Will Be Amazon’s,"The company is in the middle of a push to get Alexa, its voice-activated assistant, in cars, appliance and more. It looks like a giant play for data.",2017-01-06T17:54:56+0000,https://www.nytimes.com/2017/01/06/technology/daily-report-the-next-voice-you-hear-will-be-amazons.html,2017-01-01 to 2017-03-31
Ford Motor Company,Automotive,"Starbucks, Exxon, Apple: Companies Challenging (or Silent on) Trump’s Immigration Ban",The reaction from major American companies to President Trump’s order has ranged from silence to outrage.,2017-01-31T03:49:58+0000,https://www.nytimes.com/interactive/2017/business/trump-immigration-ban-company-reaction.html,2017-01-01 to 2017-03-31
Ford Motor Company,Automotive,Uber Suspends Tests of Self-Driving Vehicles After Arizona Crash,"The Uber vehicle was not at fault, the police said. But the accident comes at a difficult time for the company.",2017-03-25T19:22:00+0000,https://www.nytimes.com/2017/03/25/business/uber-suspends-tests-of-self-driving-vehicles-after-arizona-crash.html,2017-01-01 to 2017-03-31
Ford Motor Company,Automotive,"Trump, in Meeting, Urges Automakers to Build in United States",The tenor of the White House meeting with the chief executives of the three Detroit automakers appeared far more cooperative than adversarial.,2017-01-24T17:46:28+0000,https://www.nytimes.com/2017/01/24/business/trump-us-automakers-meeting.html,2017-01-01 to 2017-03-31
Ford Motor Company,Automotive,Profitable Pickups May Be in Cross Hairs of Trump Border Tax,"Trucks from General Motors and Chrysler rely heavily on Mexican labor and parts. If a tariff wall goes up, Ford could benefit at their expense.",2017-02-13T10:00:27+0000,https://www.nytimes.com/2017/02/13/business/general-motors-mexico-pickups.html,2017-01-01 to 2017-03-31
Ford Motor Company,Automotive,Coming From Automakers: Voice Control That Understands You Better,"Ford Motor is announcing it will incorporate Amazon’s Alexa into its vehicles, one of many efforts by automakers to improve voice-recognition systems.",2017-01-05T21:29:04+0000,https://www.nytimes.com/2017/01/05/automobiles/automakers-voice-control-amazon-alexa.html,2017-01-01 to 2017-03-31
Ford Motor Company,Automotive,"Automakers Knew of Takata Airbag Hazard for Years, Suit Says",Plaintiffs in a class action say internal documents from at least four automakers show that they continued to use the flawed airbags to save on costs.,2017-02-27T18:28:38+0000,https://www.nytimes.com/2017/02/27/business/takata-airbags-automakers-class-action.html,2017-01-01 to 2017-03-31
Ford Motor Company,Automotive,Record 2016 for U.S. Auto Industry; Long Road Back May Be at End,"A total of 17.55 million vehicles were sold, but struggling passenger car sales, reliance on sales incentives, and a new administration raise questions.",2017-01-05T00:47:15+0000,https://www.nytimes.com/2017/01/04/business/2016-record-united-states-auto-sales.html,2017-01-01 to 2017-03-31
Ford Motor Company,Automotive,"For Mexican Leaders, a Turbulent Start to the New Year","The new turmoil promises to make this year even more difficult for President Enrique Peña Nieto, whose approval ratings have already plunged below 25 percent.",2017-01-06T02:27:04+0000,https://www.nytimes.com/2017/01/05/world/americas/mexico-pena-nieto-trump-turmoil-gasoline.html,2017-01-01 to 2017-03-31
Ford Motor Company,Automotive,Automakers Near a Victory on Rollback of Fuel Standards,"The Trump administration’s expected move on emissions and mileage targets would remove a costly mandate, though some efficiency efforts would proceed.",2017-03-06T01:11:51+0000,https://www.nytimes.com/2017/03/05/business/detroit-automakers-emissions-standards.html,2017-01-01 to 2017-03-31
Ford Motor Company,Automotive,Visions for the City of Tomorrow,11 leaders on how we can improve urban life.,2017-01-10T04:42:17+0000,https://www.nytimes.com/paidpost/ford/visions-for-the-city-of-tomorrow.html,2017-01-01 to 2017-03-31
Ford Motor Company,Automotive,Trump Using Detroit as Stage for Loosening Obama’s Fuel Economy Rules,"Automakers have said the fuel standards, which have been widely praised by environmentalists, would be expensive and technologically difficult to achieve.",2017-03-15T09:00:04+0000,https://www.nytimes.com/2017/03/15/us/politics/trump-obama-fuel-economy-standards.html,2017-01-01 to 2017-03-31
Ford Motor Company,Automotive,Anthony Colombo Dies at 71; Helped Get ‘Mafia’ Out of ‘The Godfather’,"As vice president of the Italian-American Civil Rights League, the son of a mobster worked to keep Italian organized crime references out of the movie.",2017-01-25T00:46:41+0000,https://www.nytimes.com/2017/01/24/nyregion/anthony-colombo-dies-at-71-helped-get-mafia-out-of-the-godfather.html,2017-01-01 to 2017-03-31
