company,sector,headline,snippet,pub_date,url,quarter
Ford Motor Company,Automotive,August Sales Fall for G.M. as Trucks Lift Chrysler,"General Motors’ sales streak came to an end with a 1 percent decline in August, but Chrysler sales jumped 20 percent; Ford sales were flat.",2014-09-03T19:00:32+0000,https://www.nytimes.com/2014/09/04/business/gm-sales-fall-while-trucks-continue-to-propel-chrysler.html,2014-07-01 to 2014-09-30
Ford Motor Company,Automotive,Digging Beyond the Headlines at the Monterey Classic-Car Auctions,"Rob Sass offers his views on some notable, if not record-setting, cars auctioned during the week of the Pebble Beach Concours d’Élégance.",2014-08-20T22:31:05+0000,https://www.nytimes.com/slideshow/2014/08/10/automobiles/collectibles/21starcars-update.html,2014-07-01 to 2014-09-30
Ford Motor Company,Automotive,"Cars to Watch, and Wish For, at the Monterey Auctions",Rob Sass offers his take on some notable cars up for auction in Monterey.,2014-08-11T00:10:30+0000,https://www.nytimes.com/slideshow/2014/08/10/automobiles/collectibles/10starcars-slides-copy.html,2014-07-01 to 2014-09-30
Ford Motor Company,Automotive,"Cars to Watch, and Wish For, at the Monterey Auctions",Rob Sass offers his take on some notable cars up for auction in Monterey.,2014-08-08T18:28:14+0000,https://www.nytimes.com/slideshow/2014/08/10/automobiles/collectibles/10starcars-slides.html,2014-07-01 to 2014-09-30
Ford Motor Company,Automotive, S.U.V.s and Trucks Lift Monthly Vehicle Sales,"All three of the Detroit carmakers reported strong sales in July, especially of their biggest and most profitable models.",2014-08-01T17:24:14+0000,https://www.nytimes.com/2014/08/02/business/Automakers-sales-rise-led-by-SUVs-and-trucks.html,2014-07-01 to 2014-09-30
Ford Motor Company,Automotive,Ford Reports Earnings of $1.3 Billion,"Net income was up 6 percent from a year earlier, and the automaker had a profitable quarter in Europe for the first time in three years.",2014-07-24T13:56:52+0000,https://www.nytimes.com/2014/07/25/business/ford-reports-earnings-of-1-3-billion.html,2014-07-01 to 2014-09-30
Ford Motor Company,Automotive,Motivating Corporations to Do Good,"Businesses once addressed the needs of workers and society, partly out of self-interest. Now the shareholder is king.",2014-07-15T20:31:49+0000,https://www.nytimes.com/2014/07/16/business/the-do-good-corporation.html,2014-07-01 to 2014-09-30
Ford Motor Company,Automotive,Ford Ekes Out a Profit in Europe,"The European unit of the automaker posted its first profit in three years in the second quarter, even as it warned that it would probably slip back into the red later.",2014-07-24T19:08:10+0000,https://www.nytimes.com/2014/07/25/business/international/ford-ekes-out-a-profit-in-europe.html,2014-07-01 to 2014-09-30
Ford Motor Company,Automotive,"Ford Cuts 2014 Profit Estimate, Sending Shares Lower ","The automaker expects a pretax profit of around $6 billion this year, down from an earlier forecast of $7 billion to $8 billion.",2014-09-30T00:51:03+0000,https://www.nytimes.com/2014/09/30/business/ford-cuts-2014-profit-estimate-sending-shares-lower.html,2014-07-01 to 2014-09-30
Ford Motor Company,Automotive,"Ford Recalls 745,000 Vehicles for Fault That Could Disable Air Bags",The automaker says a problem with an electronic module could prevent air bags from deploying in a crash.,2014-09-26T16:58:44+0000,https://www.nytimes.com/2014/09/27/automobiles/ford-recalls-745000-vehicles-for-fault-that-could-disable-air-bags.html,2014-07-01 to 2014-09-30
