company,sector,headline,snippet,pub_date,url,quarter
Ford Motor Company,Automotive,Ford Is Investigating Emissions and Fuel Efficiency Data,The company has hired a law firm to look into how it tested vehicles after employees reported possible flaws with its computer models.,2019-02-22T00:14:27+0000,https://www.nytimes.com/2019/02/21/business/ford-emissions.html,2019-01-01 to 2019-03-31
Ford Motor Company,Automotive,Ford to Build Self-Driving Vehicles in Michigan,"The automaker also said it would build electric vehicles at its existing plant in Flat Rock, Mich., as part of a plan to invest $900 million in manufacturing in the state.",2019-03-20T18:46:05+0000,https://www.nytimes.com/2019/03/20/business/ford-self-driving-cars.html,2019-01-01 to 2019-03-31
Ford Motor Company,Automotive,"Ford and VW Team Up, With Talk of Driverless and Electric Cars",The automakers will develop and build pickup trucks and vans for various markets while pursuing wider cooperation on advanced technologies.,2019-01-15T13:34:32+0000,https://www.nytimes.com/2019/01/15/business/ford-volkswagen.html,2019-01-01 to 2019-03-31
Ford Motor Company,Automotive,Ford Plans to Cut Thousands of Jobs Across Europe,"The automaker, which has 68,000 employees in the region, including through joint ventures, is also reviewing its factory operations there.",2019-01-10T13:22:07+0000,https://www.nytimes.com/2019/01/10/business/ford-motor-layoffs-europe.html,2019-01-01 to 2019-03-31
Ford Motor Company,Automotive,How Companies Learned to Stop Fearing Trump’s Twitter Wrath,"Two years into President Trump’s term, many businesses appear to be increasingly prioritizing their balance sheets over political backlash caused by his efforts to compel them to build and hire.",2019-03-20T22:06:10+0000,https://www.nytimes.com/2019/03/20/us/politics/trump-twitter-businesses.html,2019-01-01 to 2019-03-31
Ford Motor Company,Automotive,Trump Rebukes General Motors and Union Over Idling of Lordstown Plant,"In a Twitter barrage, the president called on G.M. and the United Auto Workers to start talks that would put an Ohio factory back to work.",2019-03-18T17:26:57+0000,https://www.nytimes.com/2019/03/18/business/general-motors-donald-trump.html,2019-01-01 to 2019-03-31
Ford Motor Company,Automotive,"U.S. Auto Sales Put Up a Big Number, but Show Signs of Strain","The industry sold more than 17 million vehicles for the fourth straight year. But it is relying more on fleet sales, and economic winds are not favorable.",2019-01-04T01:25:39+0000,https://www.nytimes.com/2019/01/03/business/auto-sales.html,2019-01-01 to 2019-03-31
Ford Motor Company,Automotive,"China Shifts, and Detroit’s Big Bet Goes Sour","Chrysler, Ford and General Motors saw a booming Chinese driving culture and cheap labor. Now the market is slowing, competition is rising and the Trump administration wants limits.",2019-02-27T08:00:09+0000,https://www.nytimes.com/2019/02/27/business/china-auto-industry.html,2019-01-01 to 2019-03-31
Ford Motor Company,Automotive,"Fiat Chrysler Plans Michigan Investment With 6,500 Jobs","The automaker is spending $4.5 billion on several plants to produce three Jeep models, reflecting consumers’ growing preference for bigger vehicles.",2019-02-26T16:31:41+0000,https://www.nytimes.com/2019/02/26/business/fiat-chrysler-jeep-plant.html,2019-01-01 to 2019-03-31
Ford Motor Company,Automotive,G.M. Plans New Electric Vehicle Made at Chevy Bolt Plant,"The carmaker said it would invest $300 million in its Orion Township, Mich., plant in connection with producing the new model there.",2019-03-22T16:15:19+0000,https://www.nytimes.com/2019/03/22/business/general-motors-electric-vehicle.html,2019-01-01 to 2019-03-31
Ford Motor Company,Automotive,How Fiat Chrysler Sped From Laggard to Leader in Detroit,"The company’s chief says the automaker no longer needs a merger or alliance to remain competitive, thanks to strong sales of its S.U.V.s and trucks.",2019-01-14T23:36:43+0000,https://www.nytimes.com/2019/01/14/business/fiat-chrysler-detroit-auto-show.html,2019-01-01 to 2019-03-31
Ford Motor Company,Automotive,What’s Driving Automakers Out of Europe?,"Blame has been cast on events like Brexit, but there are other changes that are reshaping the industry globally.",2019-03-15T07:00:09+0000,https://www.nytimes.com/2019/03/15/business/cars-brexit-europe-technology.html,2019-01-01 to 2019-03-31
Ford Motor Company,Automotive,"Overlooked No More: Dudley Randall, Whose Broadside Press Gave a Voice to Black Poets","Randall, a poet and librarian, started the press out of his home, eventually publishing the work of about 200 writers amid Detroit’s flowering Black Arts Movement.",2019-02-13T21:41:27+0000,https://www.nytimes.com/2019/02/13/obituaries/dudley-randall-overlooked.html,2019-01-01 to 2019-03-31
Ford Motor Company,Automotive,Electric Vehicles Are in the Spotlight at Detroit’s 2019 Auto Show,Automakers are rolling out models meant to widen the appeal of electric cars. But making it easier and faster to charge them is a crucial challenge.,2019-01-13T23:22:23+0000,https://www.nytimes.com/2019/01/13/business/detroit-auto-show-electric-cars.html,2019-01-01 to 2019-03-31
Ford Motor Company,Automotive,"Amazon Invests in Rivian, a Tesla Rival in Electric Vehicles",The deal is the latest example of how the auto industry is being reshaped by new technologies and nimble companies that have raced ahead of many traditional carmakers.,2019-02-15T14:34:27+0000,https://www.nytimes.com/2019/02/15/business/rivian-amazon.html,2019-01-01 to 2019-03-31
Ford Motor Company,Automotive,What’s Next for the Renault-Nissan Alliance?,"The automakers need each other, but they also need a bold leader to secure their future.",2019-01-24T20:06:40+0000,https://www.nytimes.com/2019/01/24/business/renault-nissan-carlos-ghosn-alliance.html,2019-01-01 to 2019-03-31
Ford Motor Company,Automotive,Honda Confirms Plan to Leave Britain as Brexit Looms,"The Japanese automaker, which employs 3,500 at its Swindon, England, plant, is set to close the site by 2021.",2019-02-18T20:07:30+0000,https://www.nytimes.com/2019/02/18/business/brexit-honda.html,2019-01-01 to 2019-03-31
Ford Motor Company,Automotive,G.M. Backs Rule to Curb Carbon-Monoxide Risk in Keyless Cars,"Departing from the industry’s longtime opposition, the automaker endorsed a mandate for vehicles to have alerts and precautions to address the hazard.",2019-02-27T18:14:35+0000,https://www.nytimes.com/2019/02/27/business/carbon-monoxide-keyless-cars.html,2019-01-01 to 2019-03-31
Ford Motor Company,Automotive,Fiat Chrysler’s Diesel Effort Produces a Costly Settlement,"The accord reached in lawsuits over false emissions readings could cost nearly $800 million, including penalties, fixes, warranties and compensation.",2019-01-10T17:10:47+0000,https://www.nytimes.com/2019/01/10/business/fiat-chrysler-justice-emissions-settlement.html,2019-01-01 to 2019-03-31
Ford Motor Company,Automotive,"Tesla to Cut 3,000 Jobs in Bid to Sell Model 3 to Mass Market","The reductions, which amount to 7 percent of Tesla’s work force, were necessary for the company to remain viable, Elon Musk wrote in an email to employees.",2019-01-18T11:42:43+0000,https://www.nytimes.com/2019/01/18/business/tesla-cutting-jobs.html,2019-01-01 to 2019-03-31
