company,sector,headline,snippet,pub_date,url,quarter
Ford Motor Company,Automotive,July Is the New January: More Companies Delay Return to the Office,"From Ford to Microsoft, white-collar companies are increasingly extending working from home through next summer.",2020-10-13T09:00:24+0000,https://www.nytimes.com/2020/10/13/technology/offices-reopening-delay-coronavirus.html,2020-10-01 to 2020-12-31
Ford Motor Company,Automotive,Bill Ford: ‘Our Family Name Is on the Line Every Day’,The chairman of Ford Motor and the great-grandson of Henry Ford is an elder statesman in an industry where C.E.O.s come and go.,2020-12-18T15:00:09+0000,https://www.nytimes.com/2020/12/18/business/bill-ford-interview-corner-office.html,2020-10-01 to 2020-12-31
Ford Motor Company,Automotive,Ford and Fiat Chrysler report strong profits as car sales rebound.,Ford and Fiat Chrysler report strong profits as car sales rebound.,2020-10-28T20:38:45+0000,https://www.nytimes.com/2020/10/28/business/ford-fiat-chrysler-earnings.html,2020-10-01 to 2020-12-31
Ford Motor Company,Automotive,July is the new January: More companies delay a return to the office.,July is the new January: More companies delay a return to the office.,2020-10-13T09:05:01+0000,https://www.nytimes.com/2020/10/13/world/july-is-the-new-january-more-companies-delay-a-return-to-the-office.html,2020-10-01 to 2020-12-31
Ford Motor Company,Automotive,These Are the Perks Companies Use to Get Workers Back to Their Offices,Free lunch. Discounted parking. Learning pods for children. Some New York City companies are offering incentives to workers who are required to return to the office.,2020-10-30T07:00:22+0000,https://www.nytimes.com/2020/10/30/nyregion/new-york-city-office-coronavirus.html,2020-10-01 to 2020-12-31
Ford Motor Company,Automotive,Gary Pettus Dies at 70; Used Skills ‘To Bless the Lives of People’,Mr. Pettus built a plumbing and heating business from scratch and grabbed opportunities to be a mentor and relief worker with his church. He died of Covid-19.,2020-10-09T20:31:12+0000,https://www.nytimes.com/2020/10/09/obituaries/gary-pettus-dead-covid.html,2020-10-01 to 2020-12-31
Ford Motor Company,Automotive,An Angel on the Shoulder of Your Teenage Driver (or at Least a Snitch),Many automakers offer systems that keep an eye on how fast or how far your teenager is traveling.,2020-11-19T11:00:06+0000,https://www.nytimes.com/2020/11/19/business/teen-driver-monitoring-systems.html,2020-10-01 to 2020-12-31
Ford Motor Company,Automotive,"Tom Kennedy, Genial Journeyman of TV Game Shows, Dies at 93","Mr. Kennedy brought gaiety and a dollop of schmaltz to his work as the host of 14 shows on multiple networks, and in syndication, over nearly 30 years.",2020-10-13T22:16:56+0000,https://www.nytimes.com/2020/10/13/arts/television/tom-kennedy-dies.html,2020-10-01 to 2020-12-31
Ford Motor Company,Automotive,"Despite scaled-back plans, Biden inauguration offers perks to major donors.",,2020-12-16T19:03:13+0000,https://www.nytimes.com/2020/12/16/us/despite-scaled-back-plans-biden-inauguration-offers-perks-to-major-donors.html,2020-10-01 to 2020-12-31
Ford Motor Company,Automotive,G.M. Accelerates Its Ambitions for Electric Vehicles,General Motors says it will increase its investment and model offerings over the next five years “to expedite the transition to E.V.s.”,2020-11-19T18:00:09+0000,https://www.nytimes.com/2020/11/19/business/gm-electric-vehicles.html,2020-10-01 to 2020-12-31
