fiscal_date_ending,total_assets,total_current_assets,cash_and_cash_equivalents,cash_and_short_term_investments,inventory,current_net_receivables,total_non_current_assets,property_plant_equipment,accumulated_depreciation_amortization_ppe,intangible_assets,intangible_assets_excluding_goodwill,goodwill,investments,long_term_investments,short_term_investments,other_current_assets,other_non_current_assets,total_liabilities,total_current_liabilities,current_accounts_payable,deferred_revenue,current_debt,short_term_debt,total_non_current_liabilities,capital_lease_obligations,long_term_debt,current_long_term_debt,long_term_debt_non_current,short_long_term_debt_total,other_current_liabilities,other_non_current_liabilities,total_shareholder_equity,treasury_stock,retained_earnings,common_stock,common_stock_shares_outstanding,gross_profit,total_revenue,cost_of_revenue,cost_of_goods_and_services_sold,operating_income,selling_general_and_administrative,research_and_development,operating_expenses,investment_income_net,net_interest_income,interest_income,interest_expense,non_interest_income,other_non_operating_income,depreciation,depreciation_and_amortization,income_before_tax,income_tax_expense,interest_and_debt_expense,net_income_from_continuing_operations,comprehensive_income_net_of_tax,ebit,ebitda,net_income,operating_cashflow,payments_for_operating_activities,proceeds_from_operating_activities,change_in_operating_liabilities,change_in_operating_assets,depreciation_depletion_and_amortization,capital_expenditures,change_in_receivables,change_in_inventory,profit_loss,cashflow_from_investment,cashflow_from_financing,proceeds_from_repayments_of_short_term_debt,payments_for_repurchase_of_common_stock,payments_for_repurchase_of_equity,payments_for_repurchase_of_preferred_stock,dividend_payout,dividend_payout_common_stock,dividend_payout_preferred_stock,proceeds_from_issuance_of_common_stock,proceeds_from_issuance_of_long_term_debt_and_capital_securities_net,proceeds_from_issuance_of_preferred_stock,proceeds_from_repurchase_of_equity,proceeds_from_sale_of_treasury_stock,change_in_cash_and_cash_equivalents,change_in_exchange_rate
2024-09-30,132816000000.0,18538000000.0,14037000000.0,18538000000.0,,,36313000000.0,1080000000.0,1635000000.0,33799000000.0,18134000000.0,15665000000.0,10539000000.0,8320000000.0,4501000000.0,6448000000.0,,89192000000.0,1449000000.0,,,,,87743000000.0,1809000000.0,12370000000.0,,12279000000.0,12370000000.0,1449000000.0,68105000000.0,41178000000.0,12829000000.0,34732000000.0,2000000.0,147953572.0,3057000000.0,5197000000.0,2140000000.0,962000000.0,2006000000.0,562000000.0,,3191000000.0,236000000.0,82000000.0,236000000.0,154000000.0,5197000000.0,,,,2205000000.0,574000000.0,154000000.0,1691000000.0,1977000000.0,2006000000.0,2184000000.0,1631000000.0,1689000000.0,2000000.0,,,,110000000.0,94000000.0,,,1691000000.0,,2360000000.0,,,,,757000000.0,757000000.0,,,,,-391000000.0,,,
2024-12-31,138615000000.0,16535000000.0,12762000000.0,16535000000.0,,,49314000000.0,1103000000.0,1553000000.0,46692000000.0,20743000000.0,25949000000.0,9769000000.0,7708000000.0,3773000000.0,6152000000.0,,89260000000.0,4302000000.0,,,,,87724000000.0,1908000000.0,12314000000.0,,11680000000.0,12314000000.0,1536000000.0,67204000000.0,47495000000.0,386000000.0,35611000000.0,2000000.0,154947813.0,-4571000000.0,5677000000.0,2635000000.0,2881000000.0,2075000000.0,596000000.0,182000000.0,3602000000.0,212000000.0,46000000.0,212000000.0,166000000.0,5677000000.0,,,154000000.0,2112000000.0,442000000.0,166000000.0,1661000000.0,1124000000.0,2075000000.0,2229000000.0,1670000000.0,2618000000.0,336000000.0,,-828000000.0,-937000000.0,200000000.0,90000000.0,33000000.0,,1661000000.0,-3071000000.0,-578000000.0,,386000000.0,386000000.0,,791000000.0,791000000.0,,,,,-169000000.0,,,
